,Player,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,Team,Club
0,T. Adarabioyo,0,0,0,1,0,0,0,0,60,0,1,0,0,0,1,Fulham FC
1,B. Leno,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,Fulham FC
2,Andreas Pereira,0,0,0,0,0,1,0,0,29,7,1,0,0,1,1,Fulham FC
3,A. Robinson,0,0,0,0,0,1,0,0,40,3,2,0,0,0,1,Fulham FC
4,C. Bassey,0,0,0,0,0,0,0,0,63,0,1,0,0,2,1,Fulham FC
5,João Palhinha,0,0,0,1,0,1,1,0,31,0,3,0,3,1,1,Fulham FC
6,Rodrigo Muniz,0,0,0,0,0,5,1,2,7,0,0,0,0,3,1,Fulham FC
7,B. De Cordova-Reid,0,0,0,0,0,0,0,0,16,1,0,0,0,3,1,Fulham FC
8,T. Castagne,1,0,0,1,0,1,1,0,44,0,2,0,0,0,1,Fulham FC
9,A. Iwobi,0,0,0,0,1,0,0,0,32,3,1,0,0,0,1,Fulham FC
10,S. Lukić,0,0,0,0,0,1,0,0,45,0,1,0,2,0,1,Fulham FC
11,T. Cairney,0,0,0,0,0,1,1,0,17,0,0,0,0,0,1,Fulham FC
12,H. Wilson,0,0,0,0,0,1,1,0,8,1,0,1,0,0,1,Fulham FC
13,Adama Traoré,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,Fulham FC
14,H. Elliott,0,1,0,0,0,4,0,2,60,0,1,0,2,1,0,Liverpool FC
15,J. Quansah,0,0,0,0,0,0,0,0,107,0,2,0,0,0,0,Liverpool FC
16,V. van Dijk,0,0,0,0,0,0,0,0,102,0,0,0,1,0,0,Liverpool FC
17,Alisson Becker,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,Liverpool FC
18,T. Alexander-Arnold,1,0,0,0,0,1,1,0,73,4,1,0,1,0,0,Liverpool FC
19,W. Endo,0,0,0,0,0,0,0,0,76,0,1,0,3,0,0,Liverpool FC
20,A. Robertson,0,0,0,0,0,0,0,0,58,6,2,0,0,0,0,Liverpool FC
21,C. Gakpo,0,1,0,0,1,4,3,1,36,2,2,0,0,2,0,Liverpool FC
22,L. Díaz,0,0,0,0,0,1,0,0,21,1,1,0,0,0,0,Liverpool FC
23,Diogo Jota,1,0,0,0,3,3,2,0,18,1,0,0,0,1,0,Liverpool FC
24,R. Gravenberch,1,0,0,0,0,1,1,0,31,1,0,0,1,1,0,Liverpool FC
25,Mohamed Salah,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,Liverpool FC
26,A. Mac Allister,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,Liverpool FC
27,D. Núñez,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,Liverpool FC
28,J. Gomez,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Liverpool FC
29,D. Szoboszlai,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,Liverpool FC
